구분,유저,챗봇
원소,수소의 특징이 뭐야?,"원소기호: H
원자번호: 1
화학계열: 비금속
원자량: 1.00794
상태: 기체
밀도: 0.08988g/L(0℃. 101.325kPa)
녹는점: -259.14℃
끓는점: -252.87℃
대기와 지각의 구성물질로 지구상에 풍부함.
연소하기 쉬운 기체로 공기나 산소와 접촉하면 쉽게 불이 붙음.
실온에서는 반응성이 작지만 온도가 높아지면 반응성이 커짐.
많은 금속과 직접 반응하여 수화물을 생성함.
암모니아,메탄,메탄올 등의 합성에 대량으로 사용됨.
산소수소불꽃으로 금속의 절단과 용점에도 사용 됨.
수소 기체는 연소 후 물만 생성되고 오염물질이 만들어지지 않아 무공해연려고 각광을 받고 있음."
원소,헬륨의 특징이 뭐야?,"원소기호: He
원자번호: 2
화학계열: 비활성기체
원자량: 1.002602
상태: 기체
밀도: 0.1786g/L(0℃. 101.325kPa)
녹는점: -272.20℃
끓는점: -268.93℃
"
원소,리튬의 특징이 뭐야?,"원소기호: Li
원자번호: 3
원자량: 6.941
상태: 고체
밀도: 0.53g/cm³
녹는점: 180.54℃
끓는점: 1342℃
은백색 연질금속이지만 나트륨보다 단단함.
홑원소물질 중에서 가장 가벼움.
제어봉, 유기합성의 촉매, 환원제, 리튬전지로 쓰임.
리튬 합금은 경도가 높아 전투기 제조에 사용 됨."
,베릴륨의 특징이 뭐야?,"원소기호: B
원자번호: 4
원자량: 9.01218
상태: 고체
밀도: 1.85g/cm³
녹는점: 1280℃
끓는점: 2970℃
지각에서 존재비가 매우 낮음.
가볍고 단단함.
경금속 중 녹는점이 가장 높음.
독성이 있음."
원소,붕소의 특징이 뭐야?,"원소기호: B
원자번호: 5
원자량: 10.811
상태: 고체
밀도: 2.08g/cm³(녹는점에서 액체의 밀도)
녹는점: 2076℃
끓는점: 3927℃
붕산 또는 붕산염으로 널리 분포함.
전기음성도가 매우 작음."
원소,탄소의 특징이 뭐야?,"원소기호: C
원자번호: 6
화학계열: 비금속
원자량: 12.0107
상태: 고체
승화점: 3642℃
대기 중에서 기체상태인 이산탄소로 존재
암석권에서는 탄산염으로 존재
물 속에서는 탄산이온의 형태로 존재
유기 화합물의 주요 성분
융해가 어렵고 물과 알코올 등 모드 용제에 녹지 않음.
고온에서 기체로 되는 성질이 있음.

"
원소,질소의 특징이 뭐야?,"원소기호: N
원자번호: 7
화학계열: 비금속
원자량: 14.0067
상태: 기체
밀도: 1.251g/L(0℃, 101.325kPa)
녹는점: -210.00℃
끓는점: -195.79℃
부피백분율로 지구 대기의 78.09%, 질량 백분율로 75.54%를 차지함.
우수에서 여섯 번째로 많은 원소
해수나 암석 등에도 광범위하게 존재
질소는 주로 상온에서 이원자 분자(N2)를 이루고, 냄새, 색깔 , 맛이 없는 기체로 존재
연소를 돕지 않고 호흡에 관여하지 않음.
다이너마이트를 비롯한 각종 폭약을 만드는 데 기본적인 원료로 사용
과자봉지의 충전제로 쓰임."
원소,산소의 특징이 뭐야?,"원소기호: O
원자번호: 8
화학계열: 비금속, 칼고겐
원자량: 15.9994
상태: 기체
밀도: 1.429g/L (0℃, 101.325kPa)
녹는점: -218.79℃
끓는점: -182.95℃
산소는 상온에서 두 산소원자가 이중결합하여 이원자 분자(O2)로 존재.
색, 맛, 냄새가 없고 물에 조금 녹는 공기보다 무거운 기체.
지각의 49.2%, 바다의 88.9%를 구성하는 요소.
공기 중 전체 부피의 약 21％를 차지.
산소기체 자체는 타지 않지만 다른 물질이 타는 것을 도움.
반응성이 매우 커 할로겐을 제외한 거의 모든 원소와 반응함.
동식물의 생명 유지에 필수적인 요소.
각종 화학공업 등에서 대량으로 사용 됨.
"
원소,플루오린의 특징이 뭐야?,"원소기호: F
원자번호: 9
화학계열: 할로젠
원자량: 18.9984
상태: 기체
밀도: 1.7g/L (0℃, 101.325KPa)
녹는점: -219.62℃ 
끓는점: -188.12℃
반응성이 매우 커서 거의 모든원소와 반응해 화합물을 생성.
독성이 있음.
미량의 플루오린화 이온은 충치예방에 사용
치과용 시멘트 제조에 사용."
원소,네온의 특징이 뭐야?,"원소기호: Ne
원자번호: 10
화학계열: 비활성 기체
원자량: 20.1797
상태: 기체
밀도: 0.9002g/L (0℃, 101.325KPa)
녹는점: -248.59℃ 
끓는점: -246.08℃
비활성 기체로 다른 원소나 화합물과 반응하지 않기 때문에 스스로 연소하거나 다른 물질의 연소를 도와주지 않음.
색깔, 맛, 냄세가 없음.
공기보다 가벼움.
네온을 유리관에 넣어 방전시켜 네온 사인을 만듦."
